1331 2932
1009 938 196
1010 1286 12
1010 948 53
1010 1184 104
1011 1009 56
1011 1012 107
1012 1011 107
1013 1185 12
1013 934 110
1014 164 57
1014 934 93
1014 937 156
1015 293 55
1015 164 46
1015 713 193
1016 713 21
1016 712 66
1017 190 55
1017 1018 151
1017 1025 55
1018 1244 9
1018 1017 151
1018 403 56
1019 1022 70
1019 403 59
1019 1172 117
1020 905 74
1020 1024 57
1020 1022 115
1021 1172 67
1021 1023 56
1021 282 121
1022 1020 115
1022 1019 70
1022 1023 60
1023 1024 117
1023 1022 60
1023 1021 56
1024 1020 57
1024 662 45
1024 1023 117
1025 403 134
1025 1172 59
1025 1017 55
1026 1027 9
1027 1026 9
1027 400 34
1027 400 158
1028 905 61
1028 711 44
1028 1029 95
1029 1030 35
1029 907 63
1029 1028 95
1030 1029 35
1030 711 94
1030 908 35
1031 177 68
1031 1304 7
1031 322 66
1032 452 194
1032 258 30
1032 202 98
1033 365 69
1033 868 124
1033 869 110
1034 1041 60
1034 869 124
1034 868 85
1035 533 87
1035 507 18
1036 493 32
1036 813 48
1036 1037 98
1037 202 38
1037 177 24
1037 1036 98
1038 1043 35
1038 490 102
1038 1039 75
1039 507 91
1039 202 61
1039 1038 75
1040 1043 40
1040 1041 66
1040 1042 95
1041 390 79
1041 1034 60
1041 1040 66
1042 390 64
1042 831 30
1042 490 69
1042 1040 95
1043 1040 40
1043 1038 35
1043 258 58
1044 1328 13
1044 898 66
1044 332 138
1045 376 88
1045 1046 170
1045 1046 301
1046 1045 170
1046 1045 301
1046 598 52
1047 1270 58
1047 286 63
1048 899 89
1048 684 58
1048 376 32
1049 290 61
1049 1053 63
1049 1050 111
1050 1054 61
1050 1051 35
1050 1052 62
1050 1049 111
1051 1050 35
1052 1053 101
1052 110 76
1052 1050 62
1053 1052 101
1053 1235 60
1053 1049 63
1054 1050 61
1054 1056 61
1054 290 111
1055 290 60
1055 163 64
1055 1056 111
1056 1054 61
1056 460 61
1056 1055 111
1057 900 67
1057 316 153
1058 528 153
1058 901 58
1058 357 52
1059 504 64
1059 1060 58
1059 357 67
1060 1059 58
1060 1061 155
1060 1061 149
1061 585 48
1061 1060 155
1061 1060 149
1062 447 81
1062 710 49
1063 1057 137
1063 316 149
1064 695 146
1064 920 74
1064 1150 44
1064 214 124
1065 691 49
1065 1069 41
1066 1069 44
1066 1206 18
1066 1068 128
1067 1065 83
1067 1068 42
1068 1069 84
1068 1067 42
1068 1066 128
1069 1066 44
1069 1068 84
1069 1065 41
1070 498 120
1070 233 164
1071 1070 107
1071 341 113
1072 1071 124
1072 928 122
1073 138 92
1073 1274 50
1073 113 62
1074 1073 134
1075 1271 74
1076 51 149
1076 252 114
1076 1161 58
1076 1077 66
1077 86 92
1077 325 77
1077 1076 66
1077 391 71
1078 843 40
1078 274 33
1078 443 161
1079 1081 18
1080 884 62
1080 259 125
1080 1159 55
1081 1079 18
1081 1083 42
1081 274 112
1082 508 97
1082 296 51
1082 421 43
1083 1081 42
1083 903 16
1083 259 42
1084 1086 144
1085 1084 12
1085 489 118
1085 1157 121
1086 1154 61
1087 495 66
1087 839 63
1087 244 83
1088 244 74
1088 381 70
1089 240 81
1089 1092 82
1089 184 63
1090 495 80
1090 142 62
1090 532 77
1091 1092 66
1091 292 131
1092 1089 82
1092 395 52
1093 1094 102
1093 184 58
1093 366 94
1094 1093 102
1094 414 51
1094 1238 111
1095 516 169
1095 311 123
1095 253 54
1095 197 59
1096 482 131
1096 256 56
1096 760 60
1096 1097 108
1097 1096 108
1098 1099 137
1098 923 61
1099 1098 137
1100 109 71
1100 439 118
1101 793 39
1102 439 44
1102 1101 83
1102 136 145
1103 909 50
1103 905 181
1103 913 87
1104 762 33
1104 217 69
1105 1274 6
1105 588 97
1105 1073 55
1106 373 53
1106 385 107
1106 1107 58
1107 437 142
1107 1106 58
1107 1109 52
1108 385 61
1108 1109 58
1109 1108 58
1109 1107 52
1109 319 150
1110 385 112
1110 925 169
1110 1147 126
1111 1112 71
1111 272 70
1111 208 112
1112 224 50
1112 1111 71
1112 339 36
1113 586 56
1113 874 135
1113 745 65
1114 1115 66
1114 251 173
1115 1114 66
1115 875 77
1116 1203 52
1117 160 69
1117 877 193
1118 876 25
1118 1117 21
1119 387 57
1119 584 33
1120 1121 87
1120 11 111
1121 1120 87
1121 768 107
1122 768 42
1122 186 43
1123 293 199
1123 1124 102
1124 1308 32
1124 1125 17
1124 1123 102
1125 1124 17
1125 234 220
1125 1169 68
1126 1127 157
1127 860 33
1127 195 120
1127 1126 157
1128 880 96
1129 425 10
1129 1220 182
1130 1254 19
1130 589 19
1131 1180 116
1131 129 47
1131 427 141
1132 1133 166
1132 486 258
1132 486 158
1133 815 24
1133 1132 166
1133 507 64
1135 308 149
1136 1137 130
1136 308 134
1137 1104 7
1138 377 63
1138 431 63
1138 530 195
1139 866 54
1139 981 51
1139 358 107
1140 1067 117
1140 122 133
1141 367 57
1141 127 103
1141 307 106
1142 273 247
1142 127 61
1143 581 649
1143 283 147
1143 383 122
1144 656 51
1144 659 179
1145 221 11
1146 332 9
1147 798 8
1147 1110 126
1147 268 124
1148 465 55
1148 1108 159
1149 1310 9
1149 1311 32
1149 1313 102
1150 1064 44
1150 526 69
1151 695 44
1151 402 68
1151 1150 145
1152 444 9
1152 816 77
1152 205 77
1153 467 251
1154 1156 18
1155 1154 10
1155 1085 207
1156 816 10
1156 444 80
1157 145 6
1158 729 4
1159 1239 27
1159 392 47
1159 1080 55
1160 513 145
1160 192 65
1160 315 88
1161 881 65
1161 1076 58
1161 1162 57
1161 578 207
1162 192 56
1162 1161 57
1162 854 154
1163 131 62
1163 1164 109
1164 344 12
1164 541 59
1165 1075 44
1165 286 226
1166 1167 8
1167 1165 92
1168 417 58
1168 489 93
1168 840 203
1169 934 15
1169 1185 106
1170 1175 8
1170 1171 111
1170 1188 20
1171 746 4
1171 1187 7
1171 1170 111
1172 1021 67
1172 1019 117
1172 1025 59
1173 906 19
1173 962 104
1173 1174 104
1174 962 27
1174 916 51
1174 1173 104
1175 1170 8
1175 1176 52
1175 107 130
1176 1175 52
1177 1178 327
1178 834 168
1178 833 270
1178 1177 327
1179 756 4
1179 1180 40
1179 755 163
1180 1179 40
1180 195 77
1180 1131 116
1181 524 22
1181 964 184
1182 479 26
1182 1183 62
1182 279 50
1183 126 26
1183 536 66
1183 1182 62
1184 1010 104
1184 1185 112
1184 947 65
1185 1010 73
1185 1013 12
1185 1184 112
1186 29 49
1186 1221 25
1187 1171 7
1188 1170 20
1189 530 95
1189 197 128
1189 306 99
1190 1191 14
1190 232 39
1191 1190 14
1191 1101 141
1192 439 15
1193 62 40
1193 56 12
1194 722 13
1195 1211 57
1195 803 156
1196 394 123
1198 1199 55
1198 1199 283
1199 1198 55
1199 1198 283
1199 39 33
1200 1001 45
1200 1200 60
1201 75 8
1201 1251 339
1202 88 11
1203 1116 52
1203 251 67
1203 1115 214
1204 611 7
1204 669 430
1205 817 5
1206 1066 18
1207 474 34
1207 834 17
1208 106 1288
1208 1214 14
1209 773 7
1209 22 25
1210 1209 58
1211 1194 0
1211 1212 3
1212 1211 3
1213 764 172
1214 105 90
1214 1213 18
1215 519 118
1215 128 96
1216 596 66
1216 1284 14
1217 370 1
1218 119 115
1218 1217 20
1219 1220 2
1220 102 16
1221 1280 1
1222 37 49
1222 518 105
1223 863 26
1223 1291 7
1224 1225 18
1224 629 158
1225 1219 7
1226 897 77
1226 30 30
1227 1226 12
1228 1227 25
1228 270 116
1229 75 99
1229 77 170
1230 540 66
1230 196 69
1230 303 73
1231 1242 9
1231 1232 62
1232 941 29
1232 139 12
1233 37 16
1233 96 90
1234 648 3
1235 1053 60
1235 159 45
1235 761 26
1236 588 4
1236 687 118
1237 272 163
1237 414 73
1237 194 67
1238 1094 111
1238 586 40
1238 212 65
1239 1159 27
1239 1241 12
1239 843 219
1240 843 9
1241 1239 12
1242 1231 9
1242 499 90
1244 1018 9
1244 1245 47
1244 906 67
1245 1244 47
1246 714 106
1246 1247 5
1247 646 153
1247 636 35
1248 466 63
1248 377 120
1248 349 23
1249 569 245
1249 170 239
1250 1229 230
1250 1251 11
1251 703 48
1252 1249 120
1252 213 122
1253 153 20
1253 942 383
1253 681 153
1254 628 17
1254 40 296
1255 374 11
1255 425 133
1256 621 7
1256 369 254
1257 346 119
1257 772 180
1257 933 79
1258 81 8
1258 1259 11
1259 82 71
1259 81 10
1260 1210 17
1260 19 17
1261 184 43
1262 1263 18
1262 446 330
1263 64 417
1264 1263 33
1264 1262 22
1265 860 160
1266 129 12
1267 1272 48
1268 1267 49
1270 698 166
1271 1047 30
1272 1166 58
1273 204 5
1274 1105 6
1274 1320 93
1275 13 7
1276 614 6
1276 615 320
1277 621 7
1277 1256 11
1278 1277 8
1278 158 116
1279 1004 91
1280 5 22
1281 274 164
1282 1283 11
1283 1282 11
1283 462 150
1283 63 58
1284 730 1
1285 597 117
1285 857 23
1286 936 23
1286 1010 12
1287 21 31
1288 1322 42
1289 94 27
1290 650 57
1291 459 6
1291 721 33
1292 720 10
1292 1123 71
1294 1295 10
1294 67 267
1295 1294 10
1295 299 183
1296 551 265
1297 33 6
1298 246 6
1299 124 6
1300 793 4
1301 652 5
1302 1303 66
1302 301 10
1303 207 65
1303 925 10
1304 1031 7
1305 177 6
1306 715 4
1307 302 18
1307 1016 8
1308 1309 13
1308 718 123
1309 1308 13
1309 1125 42
1310 623 141
1310 1149 9
1311 1149 32
1312 1313 7
1312 1310 102
1313 1312 7
1313 267 48
1314 423 29
1315 856 15
1316 855 15
1317 297 25
1317 451 92
1318 1218 1
1319 442 47
1319 819 71
1319 1320 106
1320 113 19
1320 1319 106
1320 1274 93
1321 1324 2
1321 286 319
1322 598 103
1322 1288 42
1323 1321 1
1324 1322 106
1325 499 38
1325 1231 85
1326 699 18
1326 364 316
1327 898 15
1328 1044 13
1329 353 21
1330 561 192
